City/Town,Ward,Pct,"Diane B. Snelling","Joy Limoge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,-,Washington-Chittenden,22,21,0,125,0
Burlington,-,"Chittenden 6-1",211,166,19,"1,476","1,872"
Burlington,-,"Chittenden 6-2",80,59,20,561,720
Burlington,-,"Chittenden 6-3",18,16,4,172,210
Burlington,-,"Chittenden 6-4",23,19,8,160,210
Burlington,-,"Chittenden 6-5",84,64,8,462,618
Burlington,-,"Chittenden 6-6",8,7,0,63,78
Burlington,-,"Chittenden 6-7",0,1,0,5,6
Charlotte,-,"Chittenden 4-1",47,40,2,325,0
Essex,-,"Chittenden 8-1",111,112,9,836,"1,068"
Essex,-,"Chittenden 8-2",154,147,12,989,"1,302"
Essex,-,"Chittenden 8-3",38,29,2,243,312
Hinesburg,-,"Chittenden 4-1",0,0,0,0,0
Hinesburg,-,"Chittenden 4-2",42,28,5,333,408
Jericho,-,"Chittenden 3",97,93,9,653,0
Milton,-,"Chittenden 10",193,161,22,"1,274","1,650"
Milton,-,"Grand Isle-Chittenden",40,36,0,278,354
Richmond,-,"Chittenden 1",91,75,12,500,0
Shelburne,-,"Chittenden 5-1",104,72,8,572,756
Shelburne,-,"Chittenden 5-2",67,52,7,420,546
"S. Burlington",-,"Chittenden 7-1",61,47,14,358,480
"S. Burlington",-,"Chittenden 7-2",57,51,12,384,504
"S. Burlington",-,"Chittenden 7-3",39,35,16,246,336
"S. Burlington",-,"Chittenden 7-4",77,65,20,492,654
"St. George",-,"Chittenden 5-2",5,5,1,31,0
Underhill,-,"Chittenden 3",68,60,0,472,0
Westford,-,"Chittenden 8-3",29,33,1,261,0
Williston,-,"Chittenden 2",130,131,14,823,0
Winooski,-,"Chittenden 6-7",46,36,0,302,0
TOTALS,,,"1,942","1,661",225,"12,816","16,644"
