City/Town,Ward,Pct,"Scott G. Frye","Dennis Pine",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Springfield,,,325,322,17,200,2,866
TOTALS,,,325,322,17,200,2,866
